expression,category,category_2,verb,noun,non_v_pred,frequent,sg,pl,mass,animate,person,properNoun,finite,bare,pres,past,ing,en,3sg,arg_1,arg_2,arg_3,root,wh_np_verb,responsive,passive,strict_intrans,strict_trans,causative,spray_load,inchoative,agentive,event,adjs,restrictor_DE,scope_DE,NPI,agent,occupation,clothing,appearance,physical,conceptual,artifact,start_with_vowel,frontable,gender,irrpl,special_en_form,irr_verb,irr_past,document,negated,locale,institution,arg_clause,homophonous,pluralform,singularform,sgequalspl,topic,image,v_embed_sc,change_of_state,initial_state,change_arg,vehicle,vegetable,food,light,liquid,animal,openable,climbable,cleanable,buildable,drinkable,singable,boat,money,interior,quantifier,antonym,locative_prepositions,synonym_hypernym_hyponym,OOV_inductive_biases,over,base_ed,past_ed,is_in_cds
adults,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,n,,,,,,,,,,,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
people,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,n,1,,,,,,,,,,,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
senators,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,n,,,,,,,,,,,,senator,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
doctors,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
patients,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
actors,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,n,,,,,,,,,,,,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
actresses,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,f,,,,,,,,,,,,actress,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
waiters,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,waiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
waitresses,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,f,,,,,,,,,,,,waitress,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
customers,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
cashiers,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,cashier,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0
teachers,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
students,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
guests,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,guest,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
pedestrians,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
drivers,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
blouse,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,blouses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
blouses,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,blouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
coat,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,coats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
coats,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
dress,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,soft;cool;wool;warm;red;black;blue;plain;colorful,,,,0,,1,1,1,,,0,,,,,,,,,,,,,dresses,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
dresses,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
hat,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,soft;cool;wool,,,,0,,1,1,1,,,0,,,,,,,,,,,,,hats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
hats,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
jacket,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,jackets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
jackets,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,jacket,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
glove,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
gloves,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,fancy;leather,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,glove,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
glasses,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,plastic;hip;metal,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
pants,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,soft;cool;wool;warm;red;black;blue;plain;colorful,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
scarf,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,soft;cool;wool;warm,,,,0,,1,1,1,,,0,,,,,,,,,,,,,scarves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
scarves,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,scarf,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
shawl,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,shawls,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1
shawls,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,shawl,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0
shirt,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,soft;cool;wool;warm;red;black;blue;plain;colorful,,,,0,,1,1,1,,,0,,,,,,,,,,,,,shirts,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
shirts,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
shoe,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,shoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
shoes,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,fancy;leather,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,shoe,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
skirt,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,soft;cool;wool;warm;red;black;blue;plain;colorful,,,,0,,1,1,1,,,0,,,,,,,,,,,,,skirts,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
skirts,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
sock,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,socks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
socks,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
sweater,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,sweaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
sweaters,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,,0,,,,,,,,,,,,,,sweater,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
hair,N,N,,1,,1,1,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,long;short;dark;light;brown;blond,,,,0,,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
eyes,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,dark;light;blue;brown,,,,0,,0,1,1,,,1,,,,,,,,,,,,,,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
nose,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,big;small;narrow;wide,,,,0,,0,1,1,,,0,,,,,,,,,,,,,noses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
face,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,pretty;strange;wide;long;narrow;short,,,,0,,0,1,1,,,0,,,,,,,,,,,,,faces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
cup,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,cups,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
plate,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,plates,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
fork,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,forks,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
glass,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,glasses,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
dish,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,dishs,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
book,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
chair,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,chairs,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
couch,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,couchs,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
rug,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,rugs,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
car,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,cars,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
cups,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,,cup,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
plates,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,,plate,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
forks,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,,fork,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
glasses,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,,glass,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
dishes,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,,dish,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
books,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
chairs,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,,chair,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
couches,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,0,,,,,,,,,,,,,,couch,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
rugs,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,,rug,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
cars,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,,car,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1
dog,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,dogs,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
dogs,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,,dog,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
cat,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,cats,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
cats,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,,cat,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
bird,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,birds,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
birds,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,,bird,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
snake,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,snakes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
snakes,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,,snake,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
rabbit,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,rabbits,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
rabbits,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,,rabbit,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
hamster,N,N,,1,,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,hamsters,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
hamsters,N,N,,1,,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,,hamster,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,1
